PAN_PRI_PRD,MORENA_PVEM_PT,PART
0.223048327,0.479966956,0.70459837
0.245362059,0.541591861,0.501049475
0.242499227,0.533560161,0.403167477
0.310756972,0.479415671,0.462814997
0.375959079,0.413043478,0.644151565
0.507856694,0.318667505,0.686663789
0.43018018,0.385135135,0.651982379
0.382402707,0.426677947,0.568360314
0.309696093,0.470332851,0.501087745
0.308562197,0.504038772,0.442458899
0.319783968,0.413587265,0.543908472
0.417040359,0.387144993,0.665671642
0.387978142,0.395264117,0.632488479
0.44645799,0.370675453,0.652688172
0.443557583,0.408209806,0.684087363
0.415172414,0.4,0.670675301
0.506618532,0.350180505,0.679476697
0.423921888,0.379983727,0.675645959
0.322222222,0.502222222,0.613915416
0.328542094,0.429158111,0.596813725
0.413669065,0.393285372,0.613235294
0.406649616,0.383631714,0.672398968
0.342036554,0.462140992,0.66148532
0.368965517,0.417241379,0.593047035
0.229376258,0.565392354,0.575231481
0.187755102,0.618367347,0.547180346
0.274905422,0.501891551,0.543522961
0.247349823,0.54770318,0.552195122
0.39382716,0.386419753,0.637795276
0.325091575,0.447802198,0.616252822
0.262203626,0.529986053,0.480885312
0.306451613,0.553763441,0.499105546
0.247457627,0.562711864,0.526315789
0.223905724,0.592592593,0.446616541
0.22943038,0.545886076,0.47411853
0.208566108,0.55679702,0.494930876
0.319845857,0.479768786,0.443969204
0.223030303,0.564848485,0.408213756
0.209178228,0.537886873,0.502682403
0.336633663,0.451045105,0.635664336
0.343283582,0.451741294,0.64340589
0.224353628,0.550458716,0.427298646
0.23308958,0.518281536,0.428431565
0.234615385,0.575,0.505344995
0.635,0.241428571,0.662565073
0.337142857,0.565714286,0.548589342
0.399061033,0.502347418,0.560526316
0.29950495,0.532178218,0.415210689
0.301470588,0.505514706,0.50888681
0.239130435,0.565217391,0.506422018
0.265625,0.59765625,0.593967517
0.237704918,0.573770492,0.516949153
0.34375,0.4921875,0.4643289
0.314285714,0.482857143,0.422705314
0.306501548,0.458204334,0.444291609
0.231759657,0.579399142,0.399656947
0.296052632,0.565789474,0.469135802
0.294797688,0.560693642,0.448186528
0.247047244,0.551181102,0.423157018
0.444444444,0.467836257,0.610714286
0.512534819,0.398328691,0.539849624
0.329411765,0.511764706,0.559210526
0.26006192,0.557275542,0.453651685
0.289950577,0.520593081,0.416895604
0.234338747,0.591647332,0.357083679
0.325,0.4875,0.407331976
0.23015873,0.615079365,0.495088409
0.217054264,0.585271318,0.552462527
0.302134647,0.456486043,0.462765957
0.367609254,0.455012853,0.513192612
0.233807531,0.564853556,0.387408416
0.305882353,0.541176471,0.525773196
0.357894737,0.536842105,0.533707865
0.185542169,0.63373494,0.460599334
0.33197832,0.449864499,0.489065606
0.248322148,0.563758389,0.473391581
0.563419118,0.297334559,0.621359223
0.247983871,0.543346774,0.384943733
0.23608769,0.536256324,0.386823222
0.39869281,0.385620915,0.329032258
0.292682927,0.491557223,0.386511965
0.292834891,0.535825545,0.528830313
0.425742574,0.370579915,0.429265331
0.369930762,0.416419387,0.465469613
0.397763578,0.389776358,0.469617404
0.353612167,0.411913815,0.428338762
0.330449827,0.527681661,0.489001692
0.369763206,0.446265938,0.462121212
0.392857143,0.404285714,0.482425913
0.41509434,0.448113208,0.437113402
0.31147541,0.505216095,0.481003584
0.4125,0.4375,0.603015075
0.354166667,0.506944444,0.505263158
0.367888748,0.455120101,0.501267427
0.441475827,0.372773537,0.423263328
0.340497738,0.466063348,0.461859979
0.304285714,0.501428571,0.45691906
0.253275109,0.589519651,0.422509225
0.362776025,0.517350158,0.443977591
0.153846154,0.707692308,0.585585586
0.203931204,0.653562654,0.534120735
0.224358974,0.685897436,0.584269663
0.10989011,0.824175824,0.419354839
0.39636819,0.422041327,0.58220926
0.371296906,0.426596445,0.565946349
0.221143474,0.555555556,0.42290146
0.241830065,0.524183007,0.472027972
0.253933082,0.515621538,0.525256052
0.396261682,0.389719626,0.640718563
0.354892206,0.426202322,0.646995708
0.260053619,0.553619303,0.577846631
0.392,0.3968,0.704622322
0.510396975,0.31758034,0.642770352
0.367142857,0.437142857,0.614574188
0.279132336,0.494198756,0.503172857
0.279338843,0.533884298,0.465742879
0.227931489,0.58629776,0.472014925
0.25,0.544392523,0.497674419
0.220140515,0.538641686,0.535087719
0.23183391,0.490196078,0.402506964
0.293243243,0.527027027,0.516039052
0.306582507,0.4625789,0.498651079
0.237313433,0.57761194,0.509118541
0.338483146,0.467696629,0.500703235
0.277033065,0.491957105,0.487051143
0.312387792,0.506283662,0.499700957
0.237678489,0.551358821,0.42286716
0.265762171,0.508379888,0.47606383
0.222495895,0.536124795,0.507923269
0.220689655,0.538793103,0.464185674
0.161564626,0.62585034,0.489184692
0.260947274,0.521894549,0.488432999
